Überschrift;Artikel;Link;Zeitstempel
Heftige Kämpfe im Donbass;"Die Donbass-Region im Osten der Ukraine ist einmal mehr Schauplatz schwerer Gefechte zwischen ukrainischen und russischen Truppen. Die Regierung in Moskau meldet Geländegewinne - und setzt die Angriffe auf das ukrainische Energienetz fort.Die Ukraine und Russland melden heftige Gefechte aus der Donbass-Region im Osten des Landes. ""Der Donbass ist die Hauptfront im Kampf um die Unabhängigkeit der Ukraine"", sagte der Sprecher der Heeresgruppe Ost der ukrainischen Streitkräfte, Serhij Tscherewatyj. Dabei verlege sich die russische Armee auf eine neue Taktik: Statt einer großangelegten Offensive stoße man nun mit kleineren Einheiten vor. Die ukrainischen Streitkräfte hätten Angriffe in den Regionen Donezk und Luhansk zurückgeschlagen.Zuvor hatte Russland Geländegewinne im Donbass gemeldet: ""Im Raum Donezk haben die russischen Einheiten ihre Angriffe fortgesetzt und den Gegner aus seinen befestigten Stellungen vertrieben"", erklärte Armeesprecher Igor Konaschenkow. Auch im Norden zwischen den Kleinstädten Kreminna und Lyman habe man Stellungen erobert.Besonders massiv konzentrieren sich die russischen Angriffe offenbar auf die Stadt Bachmut im Oblast Donezk. Dort seien aktuell mehr als 20 Wohnsiedlungen unter Beschuss geraten, meldete die Ukraine. Die Invasionstruppen hätten Truppen und Kriegsgerät um Bachmut zusammengezogen und versuchen demnach, die Stadt einzukreisen. Sie wird seit einem halben Jahr mit Raketen beschossen.Nach dem Rückzug russischer Truppen aus Cherson im Süden haben sich die Kämpfe um Bachmut verschärft, weil Russland nach den Niederlagen im Herbst wieder einen sichtbaren Erfolg sucht. Eine Einnahme von Bachmut würde ukrainische Nachschublinien unterbrechen und den Russen die Möglichkeit geben, auf Kramatorsk und Slowjansk vorzustoßen.Der ukrainische Präsident Wolodymyr Selenskyj beklagte in seiner allabendlichen Botschaft an seine Landsleute, Bachmut sei bei den jüngsten Kämpfen komplett zerstört worden: ""Die Besatzer haben Bachmut tatsächlich zerstört, eine weitere Stadt im Donbass, die die russische Armee in verbrannte Ruinen verwandelt hat."" ""Bachmut, Soledar, Marjinka, Kremmina - für lange Zeit gibt es keinen Lebensraum mehr in diesen Gegenden.""Unterdessen setzte Russland auch seine Luftangriffe auf das ukrainische Energienetz fort: Besonders betroffen von Stromausfällen seien die Regionen Cherson, Donezk und Charkiw, hieß es. Auch aus der Region Odessa wurden in der Nacht von Freitag auf Samstag Angriffe auf die Infrastruktur gemeldet.Der ukrainische Regierungschef Denys Schmyhal erklärte, die Bürgerinnen und Bürger müssten den ganzen Winter über mit Stromabschaltungen rechnen. Zwar sei die Lage gegenwärtig unter Kontrolle, doch gebe es durch die Schäden weiter Mängel bei der Stromversorgung. ""Alle Wärme- und Wasserkraftwerke des Landes wurden beschädigt."" Dazu seien etwa 40 Prozent der Hochspannungsnetzanlagen unterschiedlich stark zerstört.""Daher sind in den meisten Region die Einschränkungen in der Stromversorgung immer noch erheblich"", bilanzierte er. ""Seien wir ehrlich, dass wir diesen Winter ständig unter den Bedingungen eines begrenzten Stromverbrauchs leben werden"", sagte er nach Angaben der Staatsagentur Unian.Dabei müssten Prioritäten gesetzt werden, erklärt Schmyhal weiter. Vorrang habe die kritische Infrastruktur wie Krankenhäuser sowie die Wasser- und Wärmeversorgung, gefolgt vom militärisch-industriellen Komplex. Erst an dritter Stelle stünden kritische Versorgungsobjekte wie Bäckereien oder Molkereien. Die Versorgung der Zivilbevölkerung mit Strom stehe erst an vierter Stelle.";https://www.tagesschau.de/ausland/europa/ukraine-kaempfe-donezk-103.html;10.12.2022 19:53:08
Linke sucht noch einmal den Schulterschluss;"Seit Monaten bietet die Linke das Bild einer tief zerstritten Partei. Mit der nun verabschiedeten ""Leipziger Erklärung"" will die Partei nun die Gräben zuschütten. Und distanziert sich klar von der umstrittenen Sahra Wagenknecht.Spätestens seit der vergangenen Bundestagswahl steckt Die Linke tief in der Krise. Damals konnte sie gerade noch den Fraktionsstatus retten, weil drei Linke Direktmandate gewannen und dank der Grundmandatsklausel damit die Partei auch an der normalen Sitzverteilung teilnahm, obwohl sie knapp an der Fünf-Prozent-Hürde scheiterte. Tief zerstritten sind Partei- und Fraktion - und dabei taucht immer wieder ein Name auf: Sahra Wagenknecht. Denn die noch immer populäre einstige Frontfrau vertritt immer wieder Standpunkte, die weit entfernt sind von der Linie der Parteiführung. Zuletzt stand sogar die Spaltung im Raum - Wagenknecht stellte sogar die Gründung einer eigenen Partei in den Raum.Mit der nun bei einem Treffen verabschiedeten ""Leipziger Erklärung"" will die Partei- und Fraktionsspitze die internen Verwerfungen überwinden: Soziale Sicherheit, gute bezahlte Arbeit, Klimaschutz und eine strikte Friedenspolitik sollen die Schwerpunkte der Parteiarbeit sein.Mit der gemeinsamen Erklärung grenzt sich die Parteiführung auch von Wagenknecht und ihren Anhängern ab: ""In der Öffentlichkeit wird sogar über die Bildung eines alternativen Parteiprojekts spekuliert"", heißt es. ""Wir sind dagegen bereit, für unsere gemeinsame Partei zu kämpfen, das historische Projekt einer geeinten, pluralen sozialistischen Partei zu verteidigen und weiterzuentwickeln."" Denn eben weil die Partei derzeit ein ""Bild der Zerstrittenheit"" biete, fühlten sich ""relevante Gruppen in der Gesellschaft nicht mehr angesprochen"".Konkret fordert die ""Leipziger Erklärung"" ein ""Vorantreiben der Energiewende"" und Milliarden für den Ausbau von erneuerbaren Energien. Wagenknecht dagegen hatte sich zuletzt für weitere russische Öl- und Gasimporte ausgesprochen.Weiterhin wird in dem Papier Russland explizit für den Angriffskrieg auf die Ukraine verantwortlich gemacht: ""Wir bekennen uns zum Selbstverteidigungsrecht der Ukraine und fordern die volle Wiederherstellung der ukrainischen Souveränität"", heißt es. Anders Wagenknecht: Sie sieht eine Mitverantwortung der NATO, allen voran der USA. Gleichzeitig setzt die Linke auf eine diplomatische Lösung: ""Es braucht internationale Initiativen für Abrüstung und Entspannungspolitik, gerechte Weltwirtschaftsstrukturen und zivile Konfliktlösungen"", heißt es.Menschen mit niedrigeren Einkommen will die Partei entlasten - und dafür auch deutlich mehr Geld als bisher ausgeben: ""Es ist Zeit für eine Offensive der Umverteilung von oben nach unten und eine Überwindung der 'Schuldenbremse' mit einer historischen Investitionswende - für gute Arbeit, Gesundheit, Bildung und Kultur und eine lebenswerte und nachhaltige Zukunft für alle"", heißt es in den Papier.Und schließlich grenzen sich Partei- und Fraktionsspitze klar von der AfD ab: ""Klare Kante gegen rechts"", heißt es in dem Papier. Wagenknecht dagegen hatte zuletzt die Grünen als die gefährlichste Partei im Bundestag ausgemacht.Zur Klausur in Leipzig hatten die Bundesvorsitzenden Janine Wissler und Martin Schirdewan alle wichtigen Funktionsträger der Partei geladen, also neben dem Vorstand auch die Spitzen der Bundestagsfraktion sowie der Landesverbände und Landtagsfraktionen. Wagenknecht allerdings war nicht dabei - sie ist zwar Bundestagsabgeordnete, hat aber kein Parteiamt.";https://www.tagesschau.de/inland/innenpolitik/linke-195.html;10.12.2022 20:42:23
Frankreich steht nach 2:1-Sieg gegen England im WM-Halbfinale;Mit Frankreichs 2:1-Sieg über England steht das letzte Team für das Halbfinale fest. Der Titelverteidiger von 2018 trifft am Mittwoch auf Marokko.Weitere Informationen in Kürze.;https://www.tagesschau.de/eilmeldung/eilmeldung-6917.html;10.12.2022 22:05:31
Linke sucht noch einmal den Schulterschluss;"Seit Monaten bietet die Linke das Bild einer tief zerstritten Partei. Mit der nun verabschiedeten ""Leipziger Erklärung"" will die Partei nun die Gräben zuschütten. Und distanziert sich klar von der umstrittenen Sahra Wagenknecht.Spätestens seit der vergangenen Bundestagswahl steckt Die Linke tief in der Krise. Damals konnte sie gerade noch den Fraktionsstatus retten, weil drei Linke Direktmandate gewannen und dank der Grundmandatsklausel damit die Partei auch an der normalen Sitzverteilung teilnahm, obwohl sie knapp an der Fünf-Prozent-Hürde scheiterte. Tief zerstritten sind Partei- und Fraktion - und dabei taucht immer wieder ein Name auf: Sahra Wagenknecht. Denn die noch immer populäre einstige Frontfrau vertritt immer wieder Standpunkte, die weit entfernt sind von der Linie der Parteiführung. Zuletzt stand sogar die Spaltung im Raum - Wagenknecht stellte sogar die Gründung einer eigenen Partei in den Raum.Mit der nun bei einem Treffen verabschiedeten ""Leipziger Erklärung"" will die Partei- und Fraktionsspitze die internen Verwerfungen überwinden: Soziale Sicherheit, gute bezahlte Arbeit, Klimaschutz und eine strikte Friedenspolitik sollen die Schwerpunkte der Parteiarbeit sein.Mit der gemeinsamen Erklärung grenzt sich die Parteiführung auch von Wagenknecht und ihren Anhängern ab: ""In der Öffentlichkeit wird sogar über die Bildung eines alternativen Parteiprojekts spekuliert"", heißt es. ""Wir sind dagegen bereit, für unsere gemeinsame Partei zu kämpfen, das historische Projekt einer geeinten, pluralen sozialistischen Partei zu verteidigen und weiterzuentwickeln."" Denn eben weil die Partei derzeit ein ""Bild der Zerstrittenheit"" biete, fühlten sich ""relevante Gruppen in der Gesellschaft nicht mehr angesprochen"".Konkret fordert die ""Leipziger Erklärung"" ein ""Vorantreiben der Energiewende"" und Milliarden für den Ausbau von erneuerbaren Energien. Wagenknecht dagegen hatte sich zuletzt für weitere russische Öl- und Gasimporte ausgesprochen.Weiterhin wird in dem Papier Russland explizit für den Angriffskrieg auf die Ukraine verantwortlich gemacht: ""Wir bekennen uns zum Selbstverteidigungsrecht der Ukraine und fordern die volle Wiederherstellung der ukrainischen Souveränität"", heißt es. Anders Wagenknecht: Sie sieht eine Mitverantwortung der NATO, allen voran der USA. Gleichzeitig setzt die Linke auf eine diplomatische Lösung: ""Es braucht internationale Initiativen für Abrüstung und Entspannungspolitik, gerechte Weltwirtschaftsstrukturen und zivile Konfliktlösungen"", heißt es.Menschen mit niedrigeren Einkommen will die Partei entlasten - und dafür auch deutlich mehr Geld als bisher ausgeben: ""Es ist Zeit für eine Offensive der Umverteilung von oben nach unten und eine Überwindung der 'Schuldenbremse' mit einer historischen Investitionswende - für gute Arbeit, Gesundheit, Bildung und Kultur und eine lebenswerte und nachhaltige Zukunft für alle"", heißt es in den Papier.Und schließlich grenzen sich Partei- und Fraktionsspitze klar von der AfD ab: ""Klare Kante gegen rechts"", heißt es in dem Papier. Wagenknecht dagegen hatte zuletzt die Grünen als die gefährlichste Partei im Bundestag ausgemacht.Zur Klausur in Leipzig hatten die Bundesvorsitzenden Janine Wissler und Martin Schirdewan alle wichtigen Funktionsträger der Partei geladen, also neben dem Vorstand auch die Spitzen der Bundestagsfraktion sowie der Landesverbände und Landtagsfraktionen. Wagenknecht allerdings war nicht dabei - sie ist zwar Bundestagsabgeordnete, hat aber kein Parteiamt.";https://www.tagesschau.de/inland/innenpolitik/linke-195.html;10.12.2022 22:06:25
Frankreich steht nach 2:1-Sieg gegen England im WM-Halbfinale;Mit Frankreichs 2:1-Sieg über England steht das letzte Team für das Halbfinale fest. Der Titelverteidiger von 2018 trifft am Mittwoch auf Marokko.Weitere Informationen in Kürze.;https://www.tagesschau.de/eilmeldung/eilmeldung-6917.html;10.12.2022 22:07:01
Giroud köpft Frankreich ins Halbfinale;;https://www.tagesschau.de/sport/fifa-wm-113.html;10.12.2022 22:18:36
England stark - aber Giroud köpft Frankreich ins Halbfinale;"Das bessere Team ist ausgeschieden - England hat trotz einer starken Leistung gegen Frankreich das Halbfinale bei der Fußball-WM in Katar verpasst. Matchwinner beim 2:1 (1:0) für die Équipe am Samstagabend (10.12.2022) war Oldie Olivier Giroud, Englands tragischer Held hieß Harry Kane.Die Partie war hochspannend und bis zum Schlusspfiff völlig offen. Begonnen hatte sie mit einem zehnminütigem Abtasten im Mittelfeld, dann hatte Frankreich den ersten gefährlichen Abschluss: Ousmane Dembélé flankte von der rechten Seite in den Rücken von Olivier Giroud, der seinen Kopfball dennoch gut platzierte - Jordan Pickford war aber auf dem Posten. Das war fünf Minuten später absolut nicht der Fall.Da eroberte der bei den Bayern oft kritisierte Dayot Upamecano am eigenen Strafraum den Ball gegen Bukayo Saka, und während die Engländer noch ein Foul reklamierten, fuhren die Franzosen den Konter. Über Kylian Mbappé, Dembélé und Antoine Griezmann landete der Ball bei Aurélien Tchouaméni, der ansatzlos aus 22 Metern abzog - und Pickford im langen Eck böse überraschte. Eine Mitschuld am Gegentor trug neben dem Torhüter auch Jude Bellingham, der den Schuss von Tchouaméni durchaus noch hätte blocken können.Das Einsteigen von Upamecano vor dem 1:0 durchgehen zu lassen, war absolut vertretbar - aber in der 25. Minute hatte er pures Glück. Zentimeter vor oder sogar auf der Strafraumlinie räumte er Harry Kane ab, Schiedsrichter Wilton Sampaio aus Brasilien aber übersah das Foul und ließ weiterlaufen. Bei der nächsten Unterbrechung entschloss sich die VAR-Abteilung dann zu der Version, dass die Szene knapp außerhalb stattgefunden haben soll - deshalb gab es dann weder Elfmeter noch Freistoß.Die Engländer hatten anschließend, vielleicht auch vor Wut über die aus ihrer Sicht gleich doppelte Benachteiligung, deutlich Oberwasser. Vor allem Kane drehte immer mehr auf. In seiner neuen Mix-Position aus Zehner und Neuner zog er in der 30. Minute gefährlich aus der Distanz ab - Hugo Lloris holte den Ball aus dem rechten Winkel.Frankreich zog sich bis zur Pause weit zurück und setzte nur noch auf Konter - doch einer davon hätte beinahe das 2:0 bedeutet. In der 39. Minute kam der ansonsten recht zurückhaltend agierende Mbappé am Elfmeterpunkt zum Abschluss, zielte aber eine Etage zu hoch.Im zweiten Durchgang übernahmen sofort die Engländer wieder die Herrschaft über das Mittelfeld, aber erneut verhinderte Lloris den Ausgleich, als er in der 48. Minute einen fulminanten Bellingham-Kracher mit den Fingerspitzen über die Latte lenkte.Aber England blieb dran, machte weiter Druck - und nach 50 Minuten wurde das kollektive Bemühen belohnt. Saka dribbelte durch den Strafraum der Franzosen, Tchouaméni bot ihm beim Klärungsversuch das Bein an, Saka stürzte darüber. Für Harry Kane folgte ein besonderer Elfmeter. Zum einen fehlte ihm vor der Ausführung nur ein Treffer, um zu Wayne Rooney als Rekordschütze seines Landes aufzuschließen. Und im gegnerischen Gehäuse stand der Mann, dem er auch im Vereinstraining bei Tottenham immer die Strafstöße draufballert - doch er schulterte beide Herausforderungen locker und knallte die Kugel unhaltbar für Lloris zum 1:1 ins linke Eck.Für Frankreich war es offensichtlich schwierig, nun wieder den Modus zu wechseln. England hingegen blieb konsequent und hatte durch einen wuchtigen Kopfball von Harry Maguire (70.), der noch den Außenpfosten streifte, und Saka (72.) nach einer Hereingabe von Luke Shaw gute Chancen, den zweiten Treffer nachzulegen.Als alles auf die Führung der Engländer hindeutete, schlug Frankreich zu. Einen Schuss aus acht Metern von Giroud konnte Pickford zunächst noch abwehren (77.). Doch das reichte der Innenverteidigung der Briten nicht als Warnung: Eine Minute später konnte Griezmann von links unbedrängt flanken - und Giroud wuchtete die Kugel per Kopf zum 2:1 ins Netz.England machte aber unbeeindruckt weiter - und bekam die nächste Chance vom Elfmeterpunkt. Theo Hernández rammte dem eingewechselten Mason Mount ohne Aussicht auf einen Ballgewinn den Ellenbogen in den Rücken, der phasenweise total überforderte Sampaio ließ erneut weiterlaufen. Erst auf Intervention des VAR-Teams überprüfte er die Szene und gab den Strafstoß.Die Franzosen hingegen kamen letztlich ohne jeden Glanz ins Halbfinale - sind in dieser Form aber am Mittwoch um 20 Uhr (Live-Ticker bei sportschau.de) gegen Marokko keineswegs der klare Favorit. Giroud wollte die Leistung seines Teams dann auch nicht überhöhen: ""Wir haben solide dagegengehalten. Du musst immer im Leben bis zur letzten Sekunde an deine Chance glauben. Jetzt wollen wir natürlich das Maximale ereichen.""";https://www.sportschau.de/fussball/fifa-wm-2022/spielbericht-wm-2022-england-frankreich-viertelfinale-100.html;10.12.2022 23:01:19
Giroud köpft Frankreich ins Halbfinale;;https://www.tagesschau.de/sport/fifa-wm-113.html;10.12.2022 23:01:52
England stark - aber Giroud köpft Frankreich ins Halbfinale;"Das bessere Team ist ausgeschieden - England hat trotz einer starken Leistung gegen Frankreich das Halbfinale bei der Fußball-WM in Katar verpasst. Matchwinner beim 2:1 (1:0) für die Équipe am Samstagabend (10.12.2022) war Oldie Olivier Giroud, Englands tragischer Held hieß Harry Kane.Die Partie war hochspannend und bis zum Schlusspfiff völlig offen. Begonnen hatte sie mit einem zehnminütigem Abtasten im Mittelfeld, dann hatte Frankreich den ersten gefährlichen Abschluss: Ousmane Dembélé flankte von der rechten Seite in den Rücken von Olivier Giroud, der seinen Kopfball dennoch gut platzierte - Jordan Pickford war aber auf dem Posten. Das war fünf Minuten später absolut nicht der Fall.Da eroberte der bei den Bayern oft kritisierte Dayot Upamecano am eigenen Strafraum den Ball gegen Bukayo Saka, und während die Engländer noch ein Foul reklamierten, fuhren die Franzosen den Konter. Über Kylian Mbappé, Dembélé und Antoine Griezmann landete der Ball bei Aurélien Tchouaméni, der ansatzlos aus 22 Metern abzog - und Pickford im langen Eck böse überraschte. Eine Mitschuld am Gegentor trug neben dem Torhüter auch Jude Bellingham, der den Schuss von Tchouaméni durchaus noch hätte blocken können.Das Einsteigen von Upamecano vor dem 1:0 durchgehen zu lassen, war absolut vertretbar - aber in der 25. Minute hatte er pures Glück. Zentimeter vor oder sogar auf der Strafraumlinie räumte er Harry Kane ab, Schiedsrichter Wilton Sampaio aus Brasilien aber übersah das Foul und ließ weiterlaufen. Bei der nächsten Unterbrechung entschloss sich die VAR-Abteilung dann zu der Version, dass die Szene knapp außerhalb stattgefunden haben soll - deshalb gab es dann weder Elfmeter noch Freistoß.Die Engländer hatten anschließend, vielleicht auch vor Wut über die aus ihrer Sicht gleich doppelte Benachteiligung, deutlich Oberwasser. Vor allem Kane drehte immer mehr auf. In seiner neuen Mix-Position aus Zehner und Neuner zog er in der 30. Minute gefährlich aus der Distanz ab - Hugo Lloris holte den Ball aus dem rechten Winkel.Frankreich zog sich bis zur Pause weit zurück und setzte nur noch auf Konter - doch einer davon hätte beinahe das 2:0 bedeutet. In der 39. Minute kam der ansonsten recht zurückhaltend agierende Mbappé am Elfmeterpunkt zum Abschluss, zielte aber eine Etage zu hoch.Im zweiten Durchgang übernahmen sofort die Engländer wieder die Herrschaft über das Mittelfeld, aber erneut verhinderte Lloris den Ausgleich, als er in der 48. Minute einen fulminanten Bellingham-Kracher mit den Fingerspitzen über die Latte lenkte.Aber England blieb dran, machte weiter Druck - und nach 50 Minuten wurde das kollektive Bemühen belohnt. Saka dribbelte durch den Strafraum der Franzosen, Tchouaméni bot ihm beim Klärungsversuch das Bein an, Saka stürzte darüber. Für Harry Kane folgte ein besonderer Elfmeter. Zum einen fehlte ihm vor der Ausführung nur ein Treffer, um zu Wayne Rooney als Rekordschütze seines Landes aufzuschließen. Und im gegnerischen Gehäuse stand der Mann, dem er auch im Vereinstraining bei Tottenham immer die Strafstöße draufballert - doch er schulterte beide Herausforderungen locker und knallte die Kugel unhaltbar für Lloris zum 1:1 ins linke Eck.Für Frankreich war es offensichtlich schwierig, nun wieder den Modus zu wechseln. England hingegen blieb konsequent und hatte durch einen wuchtigen Kopfball von Harry Maguire (70.), der noch den Außenpfosten streifte, und Saka (72.) nach einer Hereingabe von Luke Shaw gute Chancen, den zweiten Treffer nachzulegen.Als alles auf die Führung der Engländer hindeutete, schlug Frankreich zu. Einen Schuss aus acht Metern von Giroud konnte Pickford zunächst noch abwehren (77.). Doch das reichte der Innenverteidigung der Briten nicht als Warnung: Eine Minute später konnte Griezmann von links unbedrängt flanken - und Giroud wuchtete die Kugel per Kopf zum 2:1 ins Netz.England machte aber unbeeindruckt weiter - und bekam die nächste Chance vom Elfmeterpunkt. Theo Hernández rammte dem eingewechselten Mason Mount ohne Aussicht auf einen Ballgewinn den Ellenbogen in den Rücken, der phasenweise total überforderte Sampaio ließ erneut weiterlaufen. Erst auf Intervention des VAR-Teams überprüfte er die Szene und gab den Strafstoß.Die Franzosen hingegen kamen letztlich ohne jeden Glanz ins Halbfinale - sind in dieser Form aber am Mittwoch um 20 Uhr (Live-Ticker bei sportschau.de) gegen Marokko keineswegs der klare Favorit. Giroud wollte die Leistung seines Teams dann auch nicht überhöhen: ""Wir haben solide dagegengehalten. Du musst immer im Leben bis zur letzten Sekunde an deine Chance glauben. Jetzt wollen wir natürlich das Maximale ereichen.""";https://www.sportschau.de/fussball/fifa-wm-2022/spielbericht-wm-2022-england-frankreich-viertelfinale-100.html;10.12.2022 23:04:56
Neues Leben für Freihandel mit Südamerika;"Russland fällt als Handelspartner aus, auch von China will sich die EU handelspolitisch lösen. So rücken die Mercosur-Länder Südamerikas wieder in den Fokus Europas. Kommt das Freihandelsabkommen 2023?Als Staatssekretärin Jennifer Morgan Anfang Dezember auf der Bühne des ""Foro Futuro"" in Buenos Aires stand, ging es anfangs um die Ukraine. Der russische Angriffskrieg sei ""eine bittere Lektion"" für Europa, erklärte Morgan auf dem deutsch-argentinischen Forum, bei dem beide Länder ""gemeinsam Lösungen für die aktuellen Krisen"" finden wollen.Dabei handelt es sich um unterschiedliche Krisen. Argentinien leidet seit Jahren unter hohen Staatsausgaben, einer schwächelnden Wirtschaft und einer Inflation, die 2022 knapp 100 Prozent erreichen wird.Deutschland dagegen stecke, laut Morgan, in einem ""Wettlauf um Ressourcen"" und suche ""weltweit neue Partner für die energetische Transformation"", womit eine nachhaltigere Klimapolitik gemeint ist. Die Lösung für beide Seiten ist für Morgan nun eine verstärkte Partnerschaft.Das neu erwachte deutsche Interesse an der Region könnte bald konkrete Ergebnisse bringen, sollte die stockende Ratifizierung des 2019 ausgehandelten EU-Mercosur-Freihandelsvertrags 2023 Fahrt aufnehmen, weil die neue geopolitische Lage dies erfordert.Russland fällt bis auf Weiteres als Rohstoff- und Energielieferant aus. Bei seltenen Erden will sich die EU aus der Abhängigkeit von China befreien. Als alternative Rohstofflieferanten kommen die Mercosur-Länder Brasilien, Argentinien, Uruguay und Paraguay ins Spiel.Der ausgehandelte Vertrag zwischen Europa und Südamerika schlummerte bislang in den Schubladen, auch weil europäische Länder wie Frankreich und Irland besorgt waren wegen der südamerikanischen Konkurrenz im Agrarsektor.Umweltschützer hatten zudem moniert, der Freihandelsvertrag würde die Regenwaldzerstörung beschleunigen. Aus Sicht von Lis Cunha, Referentin für Handelspolitik bei Greenpeace Deutschland, gehe es den südamerikanischen Staaten nur darum, ihre Agrarexporte nach Europa zu steigern. Bei den Europäern stünden Auto- und Pestizidexporte nach Südamerika im Fokus. ""Der gesamte Sinn des Abkommens ist falsch.""Dem widerspricht der Unternehmenssprecher von Bayer, Matthias Berninger: ""Brasilianer und Europäer sollten jetzt den Vorteil erkennen, dass eine enge Zusammenarbeit beim Handel beide Seiten weniger abhängig macht von den Launen eines großen Marktes wie China.""Das Reich der Mitte ist vor Jahren zum wichtigsten Handelspartner vieler Länder Südamerikas aufgestiegen, darunter auch der großen Mercosur-Mitgliedsländer Argentinien und Brasilien. Gleichzeitig hatte Europa dem Kontinent lange Zeit keine Priorität eingeräumt. Diese Zeiten scheinen nun vorbei zu sein.Bayer-Sprecher Berninger erklärt, für den Konzern würde das Abkommen ""mehr Planungssicherheit für die Agrarsparte und das Pharmageschäft"" bedeuten. Seit Jahren läuft Bayers Geschäft mit Saatgut und Pestiziden in Brasilien außerordentlich gut. Doch zuletzt unter der Bolsonaro-Regierung sorgte sich das Unternehmen ganz offensichtlich um seinen Ruf, schließlich steht der lukrative Agrarsektor in Brasilien in der Kritik, mitverantwortlich für die gestiegene Amazonas-Abholzung zu sein.Deshalb betont Berninger, Bayer wolle mit seinen Produkten Brasilien helfen, ""mehr Lebensmittel auf gleicher Fläche zu produzieren und gleichzeitig die Biodiversität zu schützen"". Und: ""Im EU-Mercosur-Abkommen müssen auch Umweltstandards und der Regenwaldschutz festgeschrieben werden.""Für die grüne EU-Parlamentsabgeordnete Anna Cavazzini geht dies nicht ohne Nachverhandlungen: ""Die bislang zahnlosen Nachhaltigkeitsstandards müssen einklagbar und verbindlich im Abkommen verankert werden.""Die Grüne sei zumindest erleichtert, dass der linke Lula da Silva die Präsidentschaftswahl gegen Amtsinhaber Jair Bolsonaro gewonnen hat. Solange Lula aber ""die durch Bolsonaro geschwächten Institutionen und Gesetze zum Waldschutz nicht wieder hergestellt hat, kann es kein EU-Mercosur-Abkommen geben"".Diese Art Skepsis vieler Europäer gegenüber dem Abkommen bereitet Unternehmer Carl Martin Welcker Sorgen. Der Geschäftsführer der Alfred H. Schütte GmbH hofft, dass es nach der Wahl Lulas in Brasilien schnell gehen wird mit der Ratifizierung: ""Danach würde dieses Dickicht an Bürokratie und Zollerklärungen in Brasilien womöglich komplett wegfallen.""Was er meint: Wenn Welcker Maschinen für die Automobilindustrie nach Brasilien exportiert, muss er bislang hohe Zölle zahlen. ""Bei Ersatzteilen rechnen wir mit bis zu 90 Prozent höheren Kosten durch die Einfuhr nach Brasilien. Das ist abenteuerlich.""Dass nun doch noch eine der größten Freihandelszonen der Welt geschaffen wird, dafür setzt sich derzeit der EU-Außenbeauftragte Josep Borrell ein. Er hat gerade erst alle Mercosur-Staatschefs besucht und bekräftigt, dass ""der politische Wille sehr stark ist"", die gegenseitigen Handelsströme anzukurbeln.Maschinenbauer Welcker fordert dafür einen deutlich schlankeren Ratifizierungsprozess: ""Es ist nicht mehr zeitgemäß, wenn man das Abkommen durch jedes Regionalparlament in Belgien schleppen muss. Sowas muss schneller gehen auf europäischer Ebene."" Lis Cunha von Greenpeace dagegen fordert, dass ""der ganze Text neu aufgemacht und nachhaltig angelegt werden muss.""Hinter den Kulissen wird derzeit intensiv verhandelt, um 2023 das Abkommen doch noch unter Dach und Fach zu kriegen. Der Wille dazu ist in der Politik deutlich gestiegen, seit Russlands Krieg in der Ukraine dafür gesorgt hat, dass Europa wieder verstärkt nach Südamerika schaut.";https://www.tagesschau.de/ausland/amerika/eu-mercosur-abkommen-103.html;11.12.2022 13:33:44
